conv_id,turn,speaker,message,message_clean,intent,topic_name,slang_level,final_satisfaction,source
1,1,customer,"Bạn ơi mình đặt hàng từ thứ 2 rồi mà hôm nay thứ 6 vẫn chưa nhận được, sao lâu vậy?",,complaint,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
1,2,agent,Dạ em xin lỗi vì sự bất tiện này ạ. Anh/chị cho em xin mã đơn hàng để kiểm tra nhé ạ.,,request_info,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
1,3,customer,"Mã đơn DH20240401, nhờ bạn xem giúp.",,provide_info,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
1,4,agent,"Dạ em kiểm tra rồi ạ. Đơn đang tại bưu cục gần nhà, shipper sẽ gọi giao trong chiều hôm nay ạ. Em xin lỗi vì đơn bị chậm hơn dự kiến ạ.",,resolve,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
1,5,customer,"Oke, mình sẽ chờ. Cảm ơn bạn đã kiểm tra.",,acknowledge,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
2,1,customer,shop ơi đơn e đặt 5 ngày r mà k thấy ship gì hết ạ,,complaint,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
2,2,agent,Dạ em rất xin lỗi ạ. Anh/chị cho em mã đơn để em kiểm tra ngay nhé ạ.,,request_info,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
2,3,customer,DH20240402 nha shop,,provide_info,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
2,4,agent,Dạ em xem rồi ạ. Đơn đang bị tạm giữ tại kho trung chuyển do lượng hàng tăng cao dịp lễ ạ. Dự kiến giao trong 2 ngày tới ạ.,,resolve,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
2,5,customer,"2 ngày nữa à, thôi được, mình chờ vậy",,acknowledge,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
3,1,customer,"đặt hàng 1 tuần r k dc g, bao h ms có v??",,complaint,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
3,2,agent,Dạ em thành thật xin lỗi ạ. Anh/chị cho em mã đơn để em xử lý ngay ạ.,,request_info,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
3,3,customer,"DH999 đó, rep đi",,provide_info,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
3,4,agent,"Dạ em kiểm tra rồi ạ. Đơn bị thất lạc tại khâu vận chuyển ạ. Em sẽ gửi lại đơn mới hoặc hoàn tiền cho anh/chị, anh/chị muốn xử lý theo hướng nào ạ?",,escalate,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
3,5,customer,thất lạc?? hàng của tôi đâu r?? shop làm ăn thế này à,,negative_feedback,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
3,6,agent,Dạ em hoàn toàn hiểu sự bức xúc của anh/chị ạ. Em sẽ gửi hàng mới trong ngày hôm nay và bồi thường voucher 50k cho anh/chị ạ.,,apologize,Khiếu nại giao hàng chậm,heavy,unsatisfied,txt_part1
4,1,customer,Shipper gọi mình không nghe máy nên trả hàng về rồi. Mình muốn đặt giao lại được không?,,request_action,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
4,2,agent,Dạ được ạ. Anh/chị cho em xin mã đơn và địa chỉ giao hàng để em tạo yêu cầu giao lại nhé ạ.,,request_info,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
4,3,customer,"Mã DH20240403, địa chỉ vẫn như cũ nhé bạn.",,provide_info,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
4,4,agent,Dạ em đã tạo yêu cầu giao lại rồi ạ. Shipper sẽ liên hệ anh/chị trong 1-2 ngày làm việc ạ. Lần này anh/chị nhớ để ý điện thoại nhé ạ.,,confirm_resolve,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
4,5,customer,"Vâng, cảm ơn bạn nhiều nhé!",,positive_feedback,Khiếu nại giao hàng chậm,light,satisfied,txt_part1
5,1,customer,"ơi app báo đã giao hàng nhưng e chưa nhận được, shipper để đâu r v",,complaint,Khiếu nại giao hàng chậm,medium,satisfied,txt_part1
5,2,agent,Dạ em xin lỗi ạ. Anh/chị cho em mã đơn để em liên hệ shipper xác nhận nhé ạ.,,request_info,Khiếu nại giao hàng chậm,medium,satisfied,txt_part1
5,3,customer,DH20240404 bạn ơi,,provide_info,Khiếu nại giao hàng chậm,medium,satisfied,txt_part1
5,4,agent,Dạ em đã liên hệ shipper rồi ạ. Shipper cho biết đã để hàng tại bảo vệ tòa nhà ạ. Anh/chị kiểm tra thử nhé ạ.,,resolve,Khiếu nại giao hàng chậm,medium,satisfied,txt_part1
5,5,customer,"uh tìm thấy r, tks shop nha",,positive_feedback,Khiếu nại giao hàng chậm,medium,satisfied,txt_part1
6,1,customer,"Bạn ơi, đơn hàng của mình đang ở tỉnh xa, bao lâu thì giao được vậy?",,inquiry,Khiếu nại giao hàng chậm,light,neutral,txt_part1
6,2,agent,"Dạ với địa chỉ tỉnh thành ngoài TP.HCM và Hà Nội, thời gian giao hàng thường là 3-5 ngày làm việc ạ. Anh/chị đặt hàng hôm nào ạ?",,request_info,Khiếu nại giao hàng chậm,light,neutral,txt_part1
6,3,customer,"Mình đặt hôm qua, địa chỉ Đà Lạt.",,provide_info,Khiếu nại giao hàng chậm,light,neutral,txt_part1
6,4,agent,"Dạ với Đà Lạt dự kiến 3-4 ngày làm việc ạ, tức là khoảng thứ 4 hoặc thứ 5 tuần này ạ. Anh/chị có thể theo dõi qua mã vận đơn trong email xác nhận đơn hàng ạ.",,resolve,Khiếu nại giao hàng chậm,light,neutral,txt_part1
6,5,customer,"Ok, mình sẽ theo dõi, cảm ơn bạn.",,acknowledge,Khiếu nại giao hàng chậm,light,neutral,txt_part1
7,1,customer,"ship mãi k tới, e check app thấy đang ở bưu cục từ h qua r",,complaint,Khiếu nại giao hàng chậm,heavy,satisfied,txt_part1
7,2,agent,Dạ em xin lỗi ạ. Anh/chị cho em mã đơn để em liên hệ bưu cục xử lý ngay ạ.,,request_info,Khiếu nại giao hàng chậm,heavy,satisfied,txt_part1
7,3,customer,DH5678 đó shop,,provide_info,Khiếu nại giao hàng chậm,heavy,satisfied,txt_part1
7,4,agent,Dạ em đã liên hệ bưu cục rồi ạ. Đơn bị kẹt do thiếu thông tin tầng/phòng ạ. Em đã cập nhật và shipper sẽ giao trong buổi chiều hôm nay ạ.,,resolve,Khiếu nại giao hàng chậm,heavy,satisfied,txt_part1
7,5,customer,"ok dc r, tks shop nha",,positive_feedback,Khiếu nại giao hàng chậm,heavy,satisfied,txt_part1
8,1,customer,"shop có thể giao hàng nhanh hơn không, mình cần gấp",,inquiry,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
8,2,agent,Dạ shop có dịch vụ giao hỏa tốc trong ngày cho khu vực nội thành ạ. Anh/chị đang ở khu vực nào và cần nhận hàng lúc mấy giờ ạ?,,request_info,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
8,3,customer,"mình ở Q.3 HCM, cần trước 5h chiều nay",,provide_info,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
8,4,agent,"Dạ Q.3 nằm trong vùng giao hỏa tốc ạ. Phí ship hỏa tốc là 35k, đặt trước 2h chiều sẽ giao trước 5h ạ. Anh/chị muốn nâng cấp lên giao hỏa tốc không ạ?",,request_info,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
8,5,customer,"ok mình chịu thêm phí, nâng cấp lên đi shop",,request_action,Khiếu nại giao hàng chậm,medium,neutral,txt_part1
9,1,customer,Mình muốn hoàn tiền đơn hàng DH20240405 vì sản phẩm không giống ảnh quảng cáo.,,request_action,Yêu cầu hoàn tiền,light,satisfied,txt_part1
9,2,agent,Dạ em rất tiếc khi nghe điều này ạ. Anh/chị mô tả giúp em sản phẩm thực tế khác ảnh như thế nào ạ?,,request_info,Yêu cầu hoàn tiền,light,satisfied,txt_part1
9,3,customer,"Ảnh đăng màu hồng pastel nhưng thực tế nhận được màu cam đậm, khác hoàn toàn.",,provide_info,Yêu cầu hoàn tiền,light,satisfied,txt_part1
